id,calories,proteins,fat,carbohydrate,name,image,recipe
680,41.0,2.0,0.3,7.8,Kapurung,https://rasabunda.com/wp-content/uploads/2021/08/Kapurung.jpg,https://cookpad.com/id/resep/16928140-kapurung-sagu-khas-sulawesi?ref=search&search_term=Kapurung
681,158.0,4.4,3.2,27.8,Kapusa,https://nilaigizi.com/assets/images/produk/produk_1538364792.jpg,https://cookpad.com/id/resep/12223567-kerupuk-basah-khas-kapuas-hulu-ala-kakwil
683,146.7,5.9,5.9,19.7,Karedok ,https://asset.kompas.com/crops/szsUOraQ00vakiV0314KT6-71v8=/0x0:1000x667/750x500/data/photo/2021/07/07/60e56c9f60649.jpg,https://cookpad.com/id/resep/22591267-karedok-no-ribet-ribet?ref=search&search_term=Karedok
684,92.0,2.2,3.3,14.1,Karedok sayur,https://asset.kompas.com/crops/jbNcoL1_PmijICoxtO4126XbZgM=/0x0:1000x667/780x390/data/photo/2021/07/07/60e56c9f60649.jpg,https://cookpad.com/id/resep/22625452-karedok-sayur?ref=search&search_term=Karedok
685,292.0,11.2,11.2,2.8,Karoket ,https://img-global.cpcdn.com/recipes/3ac8414039a793c2/680x482cq70/karoket-indomie-foto-resep-utama.jpg,https://cookpad.com/id/resep/17293907-kroket-singkong?ref=search&search_term=karoket
691,464.0,1.2,18.6,73.0,Kecimpring singkong goreng,https://www.eresep.com/media/images/resep/2020/11/18/u9be0rva491sknkbkqfhhuifa1kecip.jpg.1000x650_q85.jpg,https://cookpad.com/id/resep/305506-kecimpring-singkong-kerupuk-singkong
704,214.0,5.4,5.4,40.2,Kelepon ,https://caramembuat.id/wp-content/uploads/2022/06/Cara-Membuat-Klepon-Ketan-Khas-Bali.webp,https://cookpad.com/id/resep/22673209-klepon?ref=search&search_term=klepon
708,380.0,48.9,13.8,23.3,Kembang tahu,https://asset.kompas.com/crops/sgS6iHzRJjt2l5GMjgtm8spQscM=/0x0:1000x667/750x500/data/photo/2020/08/22/5f412ff8eee87.jpg,https://cookpad.com/id/resep/17267167-wedang-kembang-tahu-susu-murni?ref=search&search_term=kembang%20tahu
722,475.0,1.6,25.5,64.4,Keremes,https://1.bp.blogspot.com/-7vUY82UReBs/WTbWbqEd68I/AAAAAAAAG4k/isry-Tn67FQgLbx5nqz5ZVhpQeAMHkaSACLcB/s1600/23-04-12-2863049_540b3cf5-8735-4432-9749-3805a501b746.jpg,https://cookpad.com/id/resep/16608559-136-kremes-ubi-gula-merah?ref=search&search_term=Keremes%20gula%20merah
724,586.0,4.9,40.6,50.2,Keripik bayam,https://asset.kompas.com/crops/jYESdylVwVMIxcGzRhIFfZhPjnI=/0x28:1000x694/750x500/data/photo/2021/06/12/60c3ff4b72ad0.jpeg,https://cookpad.com/id/resep/16616754-kerupuk-bayam?ref=search&search_term=kerupuk%20bayam
725,446.0,2.8,14.5,76.0,Keripik gadung,https://www.ngadipuro.desa.id/desa/upload/artikel/sedang_1634355777_keripik-gadung.jpg,https://cookpad.com/id/resep/11162325-keripik-singkong-rasa-gadung?ref=search&search_term=keripik%20gadung
726,448.0,2.7,18.8,67.1,Keripik kentang,https://asset.kompas.com/crops/TaJKfxhk6isVM1cCWS03MJ-LeZw=/32x12:1000x657/780x390/data/photo/2022/05/25/628d7e2eb24a9.jpg,https://cookpad.com/id/resep/22625847-keripik-kentang?ref=search&search_term=keripik%20kentang
727,485.0,1.7,22.2,69.7,Keripik lampung,https://img-global.cpcdn.com/recipes/42103518f5a03444/680x482cq70/keripik-pisang-coklat-khas-lampung-foto-resep-utama.jpg,https://cookpad.com/id/resep/16745107-keripik-pisang-lampung-varian-rasa-coklat-susu?ref=search&search_term=keripik%20lampung
728,598.0,8.3,43.8,42.6,Keripik oncom,https://images.tokopedia.net/img/cache/700/product-1/2020/8/16/58377017/58377017_c917b0cd-8da8-412b-834f-792308dd5144_538_538,https://sajiansedap.grid.id/read/103762551/resep-kripik-oncom-camilan-praktis-dan-renyah-yang-bisa-dibuat-pemula
729,478.0,0.9,20.7,72.0,Keripik singkong,https://www.astronauts.id/blog/wp-content/uploads/2022/09/Olahan-Keripik-Khas-Indonesia-yang-Bikin-Kamu-Ketagihan-1024x683.jpg,https://cookpad.com/id/resep/17077110-keripik-singkong?ref=search&search_term=keripik%20singkong
730,481.0,2.2,19.7,73.6,Keripik singkong berbumbu,https://www.primarasa.co.id/images/images/Keripik%20Singkong%20Balado%20-%20resep.jpg,https://cookpad.com/id/resep/17061334-keripik-singkong-kukus-pedas-manis?ref=search&search_term=keripik%20singkong
731,581.0,12.1,40.6,41.7,Keripik tempe,https://assets.pikiran-rakyat.com/crop/0x0:0x0/750x500/photo/2022/07/19/1076813219.png,https://cookpad.com/id/resep/17084425-keripik-tempe-kriuk?ref=search&search_term=keripik%20tempe
732,542.0,40.3,42.4,11.6,Keripik tempe abadi murni,8597be9ee32588c99d9ad731093cd18a (640×640) (shopee.co.id),https://cookpad.com/id/resep/17084425-keripik-tempe-kriuk?ref=search&search_term=keripik%20tempe
733,510.0,12.3,27.9,52.4,Keripik tempe abadi sedang,kripik_tempe_abadi.jpg (600×450) (bukalapak.com),https://cookpad.com/id/resep/17084425-keripik-tempe-kriuk?ref=search&search_term=keripik%20tempe
734,529.0,20.8,31.7,40.2,Keripik tempe abadi telur,https://s2.bukalapak.com/img/7559256151/large/kripik_tempe_abadi.jpg,https://cookpad.com/id/resep/17084425-keripik-tempe-kriuk?ref=search&search_term=keripik%20tempe
735,486.0,0.2,23.9,67.6,Keripik ubi,https://kurio-img.kurioapps.com/21/09/02/38b4842e-bbd0-4c81-9ac4-2f41364dfbfc.jpe,https://cookpad.com/id/resep/17306970-kripik-ubi-balado?ref=search&search_term=kripik%20ubi
737,350.0,0.5,0.2,85.9,Kerupuk Aci,https://alatpresplastik.com/wp-content/uploads/2022/01/kekekeru.jpg,https://cookpad.com/id/resep/17233673-cipuk-aci-kerupuk-khas-bandung?ref=search&search_term=kerupuk%20aci
738,444.0,6.9,14.6,71.3,Kerupuk cumi goreng,https://pesonanusantara.co.id/images/upload//p/e/pes-kerupuk-cumi-mgl.jpg,https://cookpad.com/id/resep/2486099-krupuk-cumi-cumi-by-erni-hartantiamd?ref=search&search_term=kerupuk%20cumi
741,504.0,5.6,28.1,57.1,Kerupuk kemplang goreng,https://asset.kompas.com/crops/Qu-uGRiw6A4NINs_6VhIZBrvp1I=/0x386:667x831/750x500/data/photo/2021/05/12/609b4a1d9af08.jpg,https://www.fimela.com/food/read/4698963/resep-kerupuk-kemplang-khas-palembang
743,422.0,83.0,4.0,0.0,Kerupuk Kulit kerbau,https://halalmui.org/wp-content/uploads/2022/09/2022-09-01-Kerupuk-Kulit-Kenali-Bahaya-dan-Potensi-Haramnya.jpg,https://cookpad.com/id/resep/15329155-kerupuk-kulit-kerbau-kerupuk-rambak-ala-rumahan?ref=search&search_term=kerupuk%20kulit%20kerbau
745,431.0,11.1,16.2,63.0,Kerupuk Melinjo tebal goreng asin,https://assets.indozone.id/content/2021/10/31/qEsgvo3/gampang-ini-cara-membuat-emping-melinjo-yang-gurih-dan-renyah30_700.jpg,https://cookpad.com/id/resep/8616702-goreng-empingkerupuk-melinjo?ref=search&search_term=kerupuk%20melinjo
746,439.0,10.0,16.4,65.7,Kerupuk Melinjo tebal goreng manis,https://assets.indozone.id/content/2021/10/31/qEsgvo3/gampang-ini-cara-membuat-emping-melinjo-yang-gurih-dan-renyah30_700.jpg,https://cookpad.com/id/resep/8616702-goreng-empingkerupuk-melinjo?ref=search&search_term=kerupuk%20melinjo
747,485.0,11.5,24.5,59.1,Kerupuk Melinjo tipis goreng,https://assets.indozone.id/content/2021/10/31/qEsgvo3/gampang-ini-cara-membuat-emping-melinjo-yang-gurih-dan-renyah30_700.jpg,https://cookpad.com/id/resep/8616702-goreng-empingkerupuk-melinjo?ref=search&search_term=kerupuk%20melinjo
748,476.0,0.1,21.1,71.3,Kerupuk mie kuning goreng,https://id-test-11.slatic.net/p/b79efc608cc0f1f4b19fe026565838ae.jpg,https://cookpad.com/id/resep/13407128-menggoreng-kerupuk-mie-kuning
750,340.0,30.0,30.0,52.0,Kerupuk Udang ,https://cdn0-production-images-kly.akamaized.net/ihQHCeKhKldhY8YlTDkiu0ObeqE=/261x0:928x667/1200x900/filters:quality(75):strip_icc():format(webp)/kly-media-production/medias/3265798/original/012419700_1602564070-shutterstock_1736290877.jpg,https://resepkoki.id/resep/resep-kerupuk-udang/
751,359.0,17.2,68.2,332.0,Kerupuk Udang berpati,https://img.my-best.id/content_section/choice_component/sub_contents/e0b644d7e1f923673ed9a295a0ad422f.jpg?ixlib=rails-4.3.1&q=70&lossless=0&w=690&fit=max&s=685a7bbc6d1dd6e991aa9c8ec4d49919,https://resepkoki.id/resep/resep-kerupuk-udang/
752,477.0,4.7,20.5,68.5,Kerupuk udang goreng,https://asset.kompas.com/crops/Vol7WU4iu3WSWKNB3nhw8RFCJdE=/0x9:1000x675/750x500/data/photo/2021/07/27/60ff6fb81ffaf.jpg,https://resepkoki.id/resep/resep-kerupuk-udang/
